HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"Da Nhim Hamlet, Lac Duong Vietnam",N/A,N/A,N/A,N/A,Homestay Da Blah,$12 ,N/A,"$11, - ,$12",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lac Duong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g14759657-d15353817-Reviews-Homestay_Da_Blah-Lac_Duong_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,Quoc Hung Hotel,Di Linh,N/A,"Vietnam,Lam Dong Province,Di Linh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Di Linh,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2155678-d21214268-Reviews-Quoc_Hung_Hotel-Di_Linh_Lam_Dong_Province.html
"Hung Vuong 48a, Di Linh Vietnam",N/A,N/A,N/A,N/A,Thuy Duong 1,Di Linh,N/A,"Vietnam,Lam Dong Province,Di Linh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Di Linh,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2155678-d23379317-Reviews-Thuy_Duong_1-Di_Linh_Lam_Dong_Province.html
"13b Hang Hai Gung Re, Di Linh 61000 Vietnam",N/A,N/A,78,"English, French, Russian, Vietnamese",Ivory Falls Villa,$118 ,N/A,"$56, - ,$118","What are some of the property amenities at Ivory Falls Villa?, ,Which room amenities are available at Ivory Falls Villa?, ,What food & drink options are available at Ivory Falls Villa?, ,Is parking available at Ivory Falls Villa?, ,What are some restaurants close to Ivory Falls Villa?, ,Are there opportunities to exercise at Ivory Falls Villa?, ,Does Ivory Falls Villa have an airport shuttle?, ,Does Ivory Falls Villa have airport transportation?, ,Are pets allowed at Ivory Falls Villa?, ,Which languages are spoken by the staff at Ivory Falls Villa?, ,Does Ivory Falls Villa have any great views?, ",13,92,#1 of 2 small hotels in Di Linh,5,N/A,N/A,Excellent,10,N/A,10,https://www.tripadvisor.com/Hotel_Review-g2155678-d6480600-Reviews-Ivory_Falls_Villa-Di_Linh_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,Nha Nghi Thanh Hung,Di Linh,N/A,"Vietnam,Lam Dong Province,Di Linh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Di Linh,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2155678-d23524352-Reviews-Nha_Nghi_Thanh_Hung-Di_Linh_Lam_Dong_Province.html
"114 Quoc lo 20 Thon 3, Di Linh Vietnam",N/A,N/A,N/A,N/A,Quoc Huy Hotel,$14 ,N/A,"$13, - ,$14","What are some restaurants close to Quoc Huy Hotel?, ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Di Linh,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2155678-d17606601-Reviews-Quoc_Huy_Hotel-Di_Linh_Lam_Dong_Province.html
"6/5 Le Loi, Di Linh, Lam Dong, Di Linh Vietnam",N/A,N/A,N/A,N/A,Khoa Dat Hotel,$12 ,N/A,"$10, - ,$12","What are some of the property amenities at Khoa Dat Hotel?, ,What food & drink options are available at Khoa Dat Hotel?, ,Is parking available at Khoa Dat Hotel?, ,Are there opportunities to exercise at Khoa Dat Hotel?, ,Does Khoa Dat Hotel have an airport shuttle?, ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Di Linh,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2155678-d12525583-Reviews-Khoa_Dat_Hotel-Di_Linh_Lam_Dong_Province.html
"503 Hung Vuong, Di Linh Vietnam",N/A,N/A,N/A,N/A,Phuc Huy Hotel,Di Linh,N/A,"Vietnam,Lam Dong Province,Di Linh",N/A,N/A,3,#2 of 2 small hotels in Di Linh,3,N/A,N/A,Average,Di Linh,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2155678-d2155679-Reviews-Phuc_Huy_Hotel-Di_Linh_Lam_Dong_Province.html
"48/9 Hung Vuong, Di Linh Vietnam",N/A,N/A,N/A,"English, Vietnamese",Thuy Duong Guesthouse,$22 ,N/A,"$14, - ,$22","What are some of the property amenities at Thuy Duong Guesthouse?, ,Is parking available at Thuy Duong Guesthouse?, ,What are some restaurants close to Thuy Duong Guesthouse?, ",N/A,3,#1 of 1 cottage in Di Linh,3.5,N/A,N/A,Very good,Di Linh,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g2155678-d12420504-Reviews-Thuy_Duong_Guesthouse-Di_Linh_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,River Hotel,Lien Nghia,N/A,"Vietnam,Lam Dong Province,Lien Nghia",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lien Nghia,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g19844636-d21126607-Reviews-River_Hotel-Lien_Nghia_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,Khach Sáº¡n Báº£o Hoang Gia,Lien Nghia,N/A,"Vietnam,Lam Dong Province,Lien Nghia",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lien Nghia,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g19844636-d23527699-Reviews-Khach_S_n_B_o_Hoang_Gia-Lien_Nghia_Lam_Dong_Province.html
"55 A To Hien Thanh, Lam Dong Vietnam",3,51,N/A,N/A,Leuleu Mountain View Villa & Camping,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","Which popular attractions are close to Leuleu Mountain View Villa & Camping?, ,What are some of the property amenities at Leuleu Mountain View Villa & Camping?, ,What food & drink options are available at Leuleu Mountain View Villa & Camping?, ,What are some restaurants close to Leuleu Mountain View Villa & Camping?, ",N/A,2,#2 of 2 hostels in Lam Dong,5,1.0 of 5 bubbles,19,Excellent,9,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d13961926-Reviews-Leuleu_Mountain_View_Villa_Camping-Lam_Dong_Lam_Dong_Province.html
"Quoc lo 20, Xa Ha Lam, Huyen Da Huoai, Lam Dong Vietnam",N/A,N/A,N/A,N/A,Nam Nhi Farm Villa,$39 ,N/A,"$34, - ,$39",N/A,N/A,1 review,#1 of 1 limited service property in Lam Dong,5,N/A,N/A,Excellent,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d16691416-Reviews-Nam_Nhi_Farm_Villa-Lam_Dong_Lam_Dong_Province.html
"34 Cho Re Ta Nang Commune, Duc Trong, Lam Dong 670000 Vietnam",N/A,N/A,N/A,N/A,San Homestay,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","What are some of the property amenities at San Homestay?, ,What food & drink options are available at San Homestay?, ,Is parking available at San Homestay?, ",N/A,2,#1 of 2 hostels in Lam Dong,5,N/A,N/A,Excellent,6,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d15272817-Reviews-San_Homestay-Lam_Dong_Lam_Dong_Province.html
"25 Le Dai Hanh, Ward 3, Lam Dong Vietnam",6,90,N/A,"English, Chinese",Phuc Dang Huy Hotel,$17 ,N/A,"$13, - ,$17","Which popular attractions are close to Phuc Dang Huy Hotel?, ,What are some restaurants close to Phuc Dang Huy Hotel?, ,Which languages are spoken by the staff at Phuc Dang Huy Hotel?, ",N/A,N/A,N/A,N/A,N/A,54,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d12416704-Reviews-Phuc_Dang_Huy_Hotel-Lam_Dong_Lam_Dong_Province.html
"Hem 2 Ba Trieu 23 17/4 Ba Trieu Phuong 4, Thanh pho Da La, Lam Dong Vietnam",3,90,N/A,N/A,Binh An,$12 ,N/A,"$11, - ,$12","Which popular attractions are close to Binh An?, ,What are some restaurants close to Binh An?, ",N/A,N/A,N/A,N/A,N/A,40,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d13815513-Reviews-Binh_An-Lam_Dong_Lam_Dong_Province.html
"18 Mo Ko Di Linh, Lam Dong 61000 Vietnam",N/A,N/A,N/A,Vietnamese,Bao Phu Hotel,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","What are some of the property amenities at Bao Phu Hotel?, ,Which room amenities are available at Bao Phu Hotel?, ,What food & drink options are available at Bao Phu Hotel?, ,Is parking available at Bao Phu Hotel?, ,What are some restaurants close to Bao Phu Hotel?, ,Does Bao Phu Hotel have airport transportation?, ,Are any cleaning services offered at Bao Phu Hotel?, ",N/A,4,#1 of 2 small hotels in Lam Dong,4.5,N/A,N/A,Excellent,30,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d4725810-Reviews-Bao_Phu_Hotel-Lam_Dong_Lam_Dong_Province.html
"62A LY Thuong Kiet, Lam Dong 673300 Vietnam",4,86,N/A,N/A,Xuan Mai Villa,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","Which popular attractions are close to Xuan Mai Villa?, ,What are some restaurants close to Xuan Mai Villa?, ",N/A,N/A,N/A,N/A,N/A,32,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d15329340-Reviews-Xuan_Mai_Villa-Lam_Dong_Lam_Dong_Province.html
"14A Dong Da, Lam Dong 670000 Vietnam",3,56,29,N/A,Dalat Home,$53 ,N/A,"$24, - ,$53","Which popular attractions are close to Dalat Home?, ,What are some restaurants close to Dalat Home?, ,Are there any historical sites close to Dalat Home?, ",5,12,#1 of 1 special hotel in Lam Dong,4.5,3.0 of 5 bubbles,34,Excellent,Lam Dong,N/A,1,https://www.tripadvisor.com/Hotel_Review-g298083-d14794383-Reviews-Dalat_Home-Lam_Dong_Lam_Dong_Province.html
"54 Khu quy hoach Yersin,phuong 9, Lam Dong Vietnam",11,81,N/A,N/A,Biet Thu Bao Thang-Da Lat,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","Which popular attractions are close to Biet Thu Bao Thang-Da Lat?, ,What are some restaurants close to Biet Thu Bao Thang-Da Lat?, ",N/A,N/A,N/A,N/A,N/A,63,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d23265858-Reviews-Biet_Thu_Bao_Thang_Da_Lat-Lam_Dong_Lam_Dong_Province.html
Lam Dong 66000 Vietnam,N/A,N/A,N/A,N/A,Ho Gia Trang,$29 ,N/A,"$17, - ,$29",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d17668491-Reviews-Ho_Gia_Trang-Lam_Dong_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,RoÌt Homestay,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d21390991-Reviews-Ro_t_Homestay-Lam_Dong_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,Bang Thanh Hotel,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d21590909-Reviews-Bang_Thanh_Hotel-Lam_Dong_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,Motel Quy Binh,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d23528820-Reviews-Motel_Quy_Binh-Lam_Dong_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,171 Hotel Dalat,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d22236184-Reviews-171_Hotel_Dalat-Lam_Dong_Lam_Dong_Province.html
"2/7 Quang Trung, Ward 9, Lam Dong 670000 Vietnam",11,82,N/A,N/A,Rail DaLat Guest House,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","Which popular attractions are close to Rail DaLat Guest House?, ,What are some restaurants close to Rail DaLat Guest House?, ",N/A,N/A,N/A,N/A,N/A,61,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d21129576-Reviews-Rail_DaLat_Guest_House-Lam_Dong_Lam_Dong_Province.html
"Hamlet 6, Loc An, Bao Lam, Lam Dong Vietnam",5,98,N/A,N/A,Hotel Thanh Dat,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","Which popular attractions are close to Hotel Thanh Dat?, ,What are some of the property amenities at Hotel Thanh Dat?, ,What food & drink options are available at Hotel Thanh Dat?, ,Is parking available at Hotel Thanh Dat?, ,What are some restaurants close to Hotel Thanh Dat?, ,Does Hotel Thanh Dat have airport transportation?, ",N/A,N/A,N/A,N/A,N/A,65,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d13370634-Reviews-Hotel_Thanh_Dat-Lam_Dong_Lam_Dong_Province.html
Lam Dong Vietnam,N/A,N/A,N/A,N/A,Thien Duong Song Ao - Long Dinh Tea,$47 ,N/A,"$33, - ,$47",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d17664295-Reviews-Thien_Duong_Song_Ao_Long_Dinh_Tea-Lam_Dong_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,Hotel Hoan My,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d23487620-Reviews-Hotel_Hoan_My-Lam_Dong_Lam_Dong_Province.html
"Thon Lieng Trang 2-Xa Da, Lam Dong Vietnam",N/A,N/A,N/A,N/A,Huong Can Guesthouse,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d17612624-Reviews-Huong_Can_Guesthouse-Lam_Dong_Lam_Dong_Province.html
"So 4 Tran Quang Dieu, Phuong 10, Lam Dong Vietnam",12,71,N/A,N/A,Resort Hoa Sim Da Lat,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","Which popular attractions are close to Resort Hoa Sim Äa Lat?, ,What are some restaurants close to Resort Hoa Sim Äa Lat?, ",N/A,N/A,N/A,N/A,N/A,41,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d21401308-Reviews-Resort_Hoa_Sim_Da_Lat-Lam_Dong_Lam_Dong_Province.html
"12 Phu Thanh Street, Hiep Thanh Commune, Duc Trong District Highway 20, Lam Dong Vietnam",N/A,N/A,N/A,Vietnamese,New Gold Hotel,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","What are some of the property amenities at New Gold Hotel?, ,Which room amenities are available at New Gold Hotel?, ,What food & drink options are available at New Gold Hotel?, ,Is parking available at New Gold Hotel?, ,What are some restaurants close to New Gold Hotel?, ",N/A,3,#2 of 2 small hotels in Lam Dong,3.5,N/A,N/A,Very good,17,Budget,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d12145250-Reviews-New_Gold_Hotel-Lam_Dong_Lam_Dong_Province.html
N/A,N/A,N/A,N/A,N/A,Xuong Rong,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d14960022-Reviews-Xuong_Rong-Lam_Dong_Lam_Dong_Province.html
"8/21 Vo Truong Toan, Lam Dong Vietnam",N/A,N/A,N/A,N/A,Marguerite Villa,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong","Which popular attractions are close to Marguerite Villa?, ,What are some restaurants close to Marguerite Villa?, ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d13965927-Reviews-Marguerite_Villa-Lam_Dong_Lam_Dong_Province.html
"13/2 Duc Trong, Lam Dong Vietnam",N/A,N/A,N/A,N/A,Nha nghi Phu Thuong,$13 ,N/A,"$12, - ,$13",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d13559377-Reviews-Nha_nghi_Phu_Thuong-Lam_Dong_Lam_Dong_Province.html
"To Hien Thanh, Phuong 3, Lam Dong Vietnam",N/A,N/A,N/A,N/A,Guest House Kim Hung,Lam Dong,N/A,"Vietnam,Lam Dong Province,Lam Dong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lam Dong,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g298083-d13799281-Reviews-Guest_House_Kim_Hung-Lam_Dong_Lam_Dong_Province.html
"Du_ng Nguy_n Trung Tr_c Ph??ng 3, Da Lat Vietnam",10,59,19,N/A,Tuta House,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Tuta House?, ,What are some restaurants close to Tuta House?, ",1,2,#4 of 14 limited service properties in Da Lat,5,N/A,105,Excellent,4,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293922-d23390451-Reviews-Tuta_House-Da_Lat_Lam_Dong_Province.html
"So 5 Hai Thuong, Ward 5, Da Lat 670000 Vietnam",19,89,N/A,"English, Vietnamese",Thien Phuc Guesthouse,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Thien Phuc Guesthouse?, ,What are some of the property amenities at Thien Phuc Guesthouse?, ,What food & drink options are available at Thien Phuc Guesthouse?, ,Is parking available at Thien Phuc Guesthouse?, ,What are some restaurants close to Thien Phuc Guesthouse?, ,Does Thien Phuc Guesthouse have an airport shuttle?, ,Does Thien Phuc Guesthouse have airport transportation?, ,Is Thien Phuc Guesthouse located near the city center?, ,Are any cleaning services offered at Thien Phuc Guesthouse?, ,Which languages are spoken by the staff at Thien Phuc Guesthouse?, ",N/A,1 review,#58 of 77 guest houses in Da Lat,4,1.0 of 5 bubbles,85,Very good,Da Lat,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12957510-Reviews-Thien_Phuc_Guesthouse-Da_Lat_Lam_Dong_Province.html
"42 Nguyen An Ninh Ward 6, Da Lat 671807 Vietnam",15,57,N/A,"English, Vietnamese",Rose Hill homestay,Lam Dong Province,Da Lat Stargaze Home,"Da Lat Stargaze Home,Vietnam,Lam Dong Province","Which popular attractions are close to Rose Hill homestay?, ,What are some of the property amenities at Rose Hill homestay?, ,What food & drink options are available at Rose Hill homestay?, ,Is parking available at Rose Hill homestay?, ,What are some restaurants close to Rose Hill homestay?, ,Is Rose Hill homestay located near the city center?, ,Are pets allowed at Rose Hill homestay?, ,Which languages are spoken by the staff at Rose Hill homestay?, ,Are there any historical sites close to Rose Hill homestay?, ",N/A,2,#10 of 31 special inns in Da Lat,4.5,N/A,90,Excellent,10,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293922-d12421703-Reviews-Rose_Hill_homestay-Da_Lat_Lam_Dong_Province.html
"Tuyen Lam Lake, Zone VII.2, Da Lat Vietnam",0,0,598,"English, Vietnamese",Dalat Edensee Resort & Spa,$139 ,$73 ,"$73, - ,$139","Which popular attractions are close to Dalat Edensee Resort & Spa?, ,What are some of the property amenities at Dalat Edensee Resort & Spa?, ,Which room amenities are available at Dalat Edensee Resort & Spa?, ,What food & drink options are available at Dalat Edensee Resort & Spa?, ,Is parking available at Dalat Edensee Resort & Spa?, ,What are some restaurants close to Dalat Edensee Resort & Spa?, ,Are there opportunities to exercise at Dalat Edensee Resort & Spa?, ,Does Dalat Edensee Resort & Spa have an airport shuttle?, ,Does Dalat Edensee Resort & Spa have airport transportation?, ,Are any cleaning services offered at Dalat Edensee Resort & Spa?, ,Does Dalat Edensee Resort & Spa offer any business services?, ",75,351,#1 of 6 resorts in Da Lat,4.5,N/A,0,Excellent,112,"Lake View,Quiet",59,https://www.tripadvisor.com/Hotel_Review-g293922-d2268821-Reviews-Dalat_Edensee_Resort_Spa-Da_Lat_Lam_Dong_Province.html
"19A Trieu Viet Vuong Ward 3, Da Lat 670000 Vietnam",3,40,34,"English, Vietnamese",Dalat Family Hostel,$15 ,$12 ,"$12, - ,$15","Which popular attractions are close to Dalat Family Hostel?, ,What are some of the property amenities at Dalat Family Hostel?, ,What are some restaurants close to Dalat Family Hostel?, ,Which languages are spoken by the staff at Dalat Family Hostel?, ,Are there any historical sites close to Dalat Family Hostel?, ",23,340,#10 of 230 hostels in Da Lat,4.5,N/A,12,Excellent,9,Budget,20,https://www.tripadvisor.com/Hotel_Review-g293922-d5445061-Reviews-Dalat_Family_Hostel-Da_Lat_Lam_Dong_Province.html
"31 Hung Vuong, Da Lat 650000 Vietnam",6,55,N/A,"English, Vietnamese",Thanh Tin Hotel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Thanh Tin Hotel?, ,What are some of the property amenities at Thanh Tin Hotel?, ,Is parking available at Thanh Tin Hotel?, ,What are some restaurants close to Thanh Tin Hotel?, ,Are pets allowed at Thanh Tin Hotel?, ,Which languages are spoken by the staff at Thanh Tin Hotel?, ",N/A,2,#65 of 98 lodges in Da Lat,3,1.0 of 5 bubbles,30,Average,16,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293922-d6924044-Reviews-Thanh_Tin_Hotel-Da_Lat_Lam_Dong_Province.html
"348 Phan Dinh Phung Street, Ward 2, Da Lat 66000 Vietnam",25,88,14,N/A,Solo Da Lat Hostel,Da Lat,Vietnam,"Vietnam,Lam Dong Province,Da Lat","Which popular attractions are close to Solo Da Lat Hostel?, ,What are some of the property amenities at Solo Da Lat Hostel?, ,What food & drink options are available at Solo Da Lat Hostel?, ,Is parking available at Solo Da Lat Hostel?, ,What are some restaurants close to Solo Da Lat Hostel?, ,Are there opportunities to exercise at Solo Da Lat Hostel?, ,Does Solo Da Lat Hostel have an airport shuttle?, ,Is Solo Da Lat Hostel located near the city center?, ,Are any cleaning services offered at Solo Da Lat Hostel?, ",7,16,#59 of 230 hostels in Da Lat,4.5,N/A,138,Excellent,10,Budget,3,https://www.tripadvisor.com/Hotel_Review-g293922-d12558565-Reviews-Solo_Da_Lat_Hostel-Da_Lat_Lam_Dong_Province.html
